process_id,state_name,state_code_lgd,district_name,district_code_lgd,type_of_project,ngo_name,ngo_address,ngo_unique_id,project_id,project_address,scheme_project_name,scheme_project_id,form_type,acknowledgement_number,financial_year,applied_date,male_count,female_count,others_count
54284,RAJASTHAN,8,DAUSA,97,c,Mahaveer Bal ShikshaAnd vikash Samiti,"Hodayli walo ka mekan, near Saini Avm jagir Bandikui, dist- Dausa (rajasthan), Pin-303313",RJ/2016/0108313,DR/RJ/DAS/00033,"0, 0 , pradhan ki khoti , bandikui, ward 8 saylawas, saylawas, bandikui",Outreach and Drop in Centres (ODIC),11,DRUGS,RJ/RJ/00004924/DRUGS/05-21/50251,2021-22,5/27/2021,3847,406,1
54285,KARNATAKA,29,MYSORE,545,c,Salesian Trust,"KA/00002033, Pin-560018",KA/2017/0163801,DR/KA/MYS/00012,"58/2, First floor , StMarys Hospital, Near NIE college, Near Silk Factory circle, H D Kote Road, Ashokapuram",Integrated Rehabilititation Centre for Addicts(IRCA),1,DRUGS,KA/KA/00002033/DRUGS/05-21/50252,2021-22,5/25/2021,253,37,0
54286,MAHARASHTRA,27,YAVATMAL,500,c,Sant Tukdoji Maharaj Adiwasi Bahuuddeshiya Sanstha,"Tayde Nagar Nagpur Road YavatmalTq.Dist.YavatmalPin- 445001, Pin-000000",MH/2016/0104633,DR/MH/YVT/00034,"Taydenagar, Second, Near Masjid, Nagpur Road, Yavatmal",Integrated Rehabilititation Centre for Addicts(IRCA),1,DRUGS,MH/MH/00000808/DRUGS/05-21/50253,2021-22,5/30/2021,179,1,0
54287,UTTAR PRADESH,9,SONBHADRA,184,c,PARAKH ,"VILL THARBIHAR PO PINDI TEHSIL KARCHHANA DISTRICT PRAYAGRAJ(ALLAHABAD)-UP INDIA -212301 , Pin-212301",UP/2016/0099581,DR/UP/SBD/00035," MVIC, IST , NEAR MAA VINDHYAWASINI INTER COLLEGE, SALKHAN, ROBERTSGANJ",Integrated Rehabilititation Centre for Addicts(IRCA),1,DRUGS,UP/UP/00000428/DRUGS/05-21/50254,2021-22,6/15/2021,334,1,0
54288,MAHARASHTRA,27,AMRAVATI,468,c,JANHIT BAHOUDDESHIYA SANSTHA,"VILLAGE SWALAMBI NAGAR KATORA ROAD AMRAVATI DISTRICT AMRAVATI MAHARASHTRA 444603, Pin-444604",MH/2011/0047961,DR/MH/AMV/00038,"2872, Ground floor, Maa Bhawani, Hanuman Temple, Swavalambi Nagar, Kathora Road, Amravati",Integrated Rehabilititation Centre for Addicts(IRCA),1,DRUGS,MH/MH/00000497/DRUGS/05-21/50255,2021-22,5/27/2021,180,0,0
54290,MAHARASHTRA,27,DHARASHIV,488,c,LOKMANYA SHIKSHAN PRASARAK MANDAL,"Balaji nivas, Harkare nagar, UDGIR-413517, TQ. UDGIR,  DIST.  LATUR  (MAHARASHTRA)",MH/2009/0022603,DR/MH/OSM/00042,"00, Ground, Vibhute nivas, umbare kotha, near pharmacy college, umbare kotha road, osmanabad",Integrated Rehabilititation Centre for Addicts(IRCA),1,DRUGS,MH/MH/00002519/DRUGS/05-21/50257,2021-22,5/31/2021,152,0,0
54291,DELHI,7,SOUTH WEST   ,84,c,Muskan Foundation,"Head Office- WZ-A/1, Shop No. 4, Bodella Market, Vikas Puri, New DelhiProject Site - Plot No. 53, VillageAmberhai, Near Delhi Govt. Health Center, Sector -19, Dwarka, New Delhi- 110075, Pin-110075",DL/2010/0037071,DR/DL/SWD/00046,"A-136, Ground Floor, A-136, Opposite DDA Community Hall, Amberhai, Sector-19, New Delhi",Integrated Rehabilititation Centre for Addicts(IRCA),1,DRUGS,DL/DL/00002155/DRUGS/05-21/50258,2021-22,5/27/2021,114,0,0
54292,TAMIL NADU,33,NAGAPATTINAM,579,c,Gramiya Social Welfare Society,"Gramiya Social Welfare Society,No.99/35, Railway street,Malliyam - 609 806,Mayiladuthurai Taluk,Nagapattinam District, Pin-605007",TN/2010/0024026,DR/TN/NPM/00050,"220, Ground Floor, Building, Rajagopalapuram Bus Stop, Colony, Mela Salai, Town",Integrated Rehabilititation Centre for Addicts(IRCA),1,DRUGS,TN/TN/00002449/DRUGS/05-21/50259,2021-22,5/28/2021,170,0,0
54293,ASSAM,18,DIBRUGARH,286,c,NORTH EASTERN BUDDHIST CULTURAL ASSOCIATION,"Niz Kodomoni,P.O. BoiragimathDibrugarh, AssamPin-786003, Pin-786003",AS/2009/0005351,DR/AS/DBR/00052,"00, Ground Flooor, NEW LIFE REHAB CENTER, NEAR PRAMILLA BOYS HOSTEL, MALAKHUBOSA PATH, MALAKHUBOSA, DIBRUGARH",Integrated Rehabilititation Centre for Addicts(IRCA),1,DRUGS,AS/AS/00000465/DRUGS/05-21/50260,2021-22,5/12/2021,338,1,0
54294,KARNATAKA,29,SHIMOGA,547,c,Surabee Mahila Mandali ,"314 3rd Main 1st cross 
S Nijalingappa layout
davangere 577004
karnataka",KA/2014/0074274,DR/KA/SVM/00053,"SA150, Ground floor, Asare Nilaya, Panchamuki Anjaneya Temple, Auto Colony, 5th Cross, Shimoga",Integrated Rehabilititation Centre for Addicts(IRCA),1,DRUGS,KA/KA/00001279/DRUGS/05-21/50261,2021-22,5/22/2021,180,0,0
54295,MAHARASHTRA,27,NAGPUR,484,c,EKATMATA SAMAJIK SHIKSHAN MANDAL,"EKATMATA SAMAJIK SHIKSHAN MANDALDR VINOD G GAJGHATE26 MADHUR ENCLAVE, SHRAMJIVI NAGAR, MANEWADA ROAD, NAGPUR-440027 MS INDIA, Pin-440027",MH/2016/0102520,DR/MH/NGP/00054,"26, Ground & II floor, Madhur Enclave, Manewada Road, Shramjivi Nagar, Manewada Road, Nagpur",Integrated Rehabilititation Centre for Addicts(IRCA),1,DRUGS,MH/MH/00000307/DRUGS/05-21/50262,2021-22,5/29/2021,490,3,0
